Cell Line,Tissue,H3K4me0,H3K4me1,H3K4me2,H3K4ac1,H3K9me0K14ac0,H3K9me1K14ac0,H3K9me2K14ac0,H3K9me3K14ac0,H3K9ac1K14ac0,H3K9me0K14ac1,H3K9me1K14ac1,H3K9me2K14ac1,H3K9me3K14ac1,H3K9ac1K14ac1,H3K18ac0K23ac0,H3K18ac1K23ac0,H3K18ac0K23ac1,H3K18ac1K23ac1,H3K18ac0K23ub1,H3K27me0K36me0,H3K27me0K36me1,H3K27me0K36me2,H3K27me0K36me3,H3K27me1K36me0,H3K27me1K36me1,H3K27me1K36me2,H3K27me1K36me3,H3K27me2K36me0,H3K27me2K36me1,H3K27me2K36me2,H3K27me3K36me0,H3K27me3K36me1,H3K27ac1K36me0,H3K27ac1K36me1,H3K27ac1K36me2,H3K27ac1K36me3,H3.3K27me0K36me0,H3K56me0,H3K56me1,H3K79me0,H3K79me1,H3K79me2,Medium Condition
KLE,Endometrium,-0.73295731,0.351842735,0.256152425,-1.483163386,-0.216648574,-0.26031769,-0.391316308,0.946372444,-0.621244378,-0.979175341,-1.209041148,-1.084580782,-0.008920044,-1.201222761,-0.028457318,-0.77444707,-0.515071116,-1.102873921,1.115802884,-0.413240427,-0.137499772,0.143638695,0.594125278,-0.349558081,-0.192523475,-0.570962304,0.18474246,-0.106903133,0.328008048,0.282353488,-0.439127525,-0.58042273,-1.771019783,-1.304536112,-1.096218967,0.061821858,0.173966349,0.204456439,-0.307812905,-0.078139148,-0.042865639,-0.359874437,RPMI
LN229,Central Nervous System,-0.086895094,0.224612427,0.469778823,,-0.05785702,-0.105783381,0.131899988,0.001151244,0.951259081,0.757197243,0.133071258,0.440542809,0.484759961,0.972064003,0.095047776,0.360977047,0.003307128,0.225677134,0.071930594,0.916427278,1.562312235,1.844039779,1.164083169,0.282734133,0.563753303,1.191688678,0.127294899,-0.06453132,-0.358432709,-0.576482429,-0.698083808,-1.076892066,0.956553036,0.978409766,1.002238023,0.903297079,1.117624181,0.232949022,0.482188258,-0.022692861,0.191288354,0.075936189,RPMI
P31FUJ,Haematopoietic And Lymphoid Tissue,-0.013862575,0.071725649,0.151650185,0.46425292,-0.320232979,-0.398157806,-0.007414368,-0.324262085,0.180703116,0.479683753,0.45824815,0.558166355,0.798889862,1.026087291,-0.23157063,-0.334939958,0.738939848,0.365133821,0.976157778,2.623864719,2.058671304,1.929852759,1.350683387,1.729800023,0.671175012,-0.402458451,-1.162849743,-0.067000601,-1.384448607,-2.591920012,-2.834326768,-3.642051701,1.667386633,1.693025878,1.687818371,1.072947591,0.619401939,0.125549854,0.290206995,0.151505033,-0.049540603,-0.708092395,RPMI
RKN,Soft Tissue,-0.294483534,-0.415074292,-0.312532695,-0.513286991,-0.260070941,-0.233288071,-0.468191958,-0.691999348,-0.145007819,-0.046229604,-0.382360691,-0.133651824,-0.586865231,-0.112160675,-0.035075189,-0.61877819,-0.848817364,-0.980891051,,-0.706129257,-1.180614159,-0.399835852,0.00876477,-0.14897129,-0.291160505,-0.071445966,0.115656244,-0.026958364,0.019502375,-0.16121637,-0.590029052,-0.401351192,-2.28448366,-1.574460338,-0.772863618,-0.545275216,-0.788057514,-0.264966223,,-0.427169554,-0.167201289,0.37351434,F12
NH6,Autonomic Ganglia,0.458599544,0.615394246,0.087076225,0.865787611,-0.308079279,0.42069994,0.000742748,-0.530562219,1.074674551,0.480208267,1.49004024,0.721616337,0.919285007,1.058305483,0.106960785,0.900602012,0.707735771,1.823861174,,-0.151659758,0.861128518,1.066396555,0.89643924,-0.66038483,0.711035552,1.011662815,0.414827124,-0.35644459,0.147803042,1.023738728,0.241831108,-0.232271452,0.935809544,1.627342337,1.607385088,1.163519562,0.731126906,0.276692325,,0.272789994,0.39933278,0.236566612,Alpha-MEM
SF126,Central Nervous System,0.186392587,0.265171639,0.483745316,0.038763836,0.390226936,0.089386492,-0.062455584,-0.09800442,0.429305795,0.891651052,0.24235499,-0.268201217,-0.963852172,0.816128931,-0.022281112,0.616388422,0.110011653,0.841470289,,1.039911147,0.428711594,0.640168622,0.49076092,0.770983254,-0.01937683,0.018689166,0.195563242,0.17660947,-0.186198479,-0.487545345,0.367321774,-0.153754038,1.119046889,1.473122861,1.388287263,0.927222631,-0.171693914,-0.014695671,,0.132679522,-0.315678578,-0.74656623,EMEM
RERFLCAD2,Lung,-0.316810757,0.034428599,-0.478413303,-0.508833546,0.376827063,0.117083393,0.558105236,0.70046059,0.71481835,0.120850782,0.01648801,-0.412989393,-0.591682042,0.24877642,0.322293185,-0.190989477,0.339488459,0.221510977,-0.962800248,1.167737642,0.445551095,0.151411468,0.301205974,0.644678851,0.123918516,-0.014446857,0.579094218,0.267024424,0.191061903,0.72405293,-0.435495054,-0.333294312,0.031049895,0.114206561,0.020410667,0.444386076,1.124057856,0.057294691,0.075243761,0.032250624,0.176699926,-0.010793584,RPMI
OUMS23,Large Intestine,0.068278558,-0.203509707,-0.756570056,,0.915539241,-0.235936419,-1.05996828,-0.103407276,0.72874533,0.810865776,-0.62863051,-1.534489575,-1.271001245,0.347072395,0.414848444,0.183061825,0.188333833,0.696753844,-0.629602151,0.9366308,0.797697246,-0.013039158,0.671776067,0.282473192,0.310313435,0.557325548,0.853069638,-0.35550845,-0.0844534,-1.053579654,-0.222117241,-0.289125588,0.405198938,1.252635539,0.105123132,0.147467377,0.684252297,-0.217731213,0.101068328,0.105434218,-0.517050369,-1.616150421,DMEM
SNGM,Endometrium,0.322977806,0.048230957,-0.894601048,0.587717604,-0.100491626,0.451489523,-0.044618953,-0.822000078,1.346581648,0.819764014,0.998474803,0.653083062,0.029283212,1.525896916,0.113413534,0.093796413,0.486261318,-0.160736567,,-0.970391917,-0.688869876,-0.630059824,0.182688625,-0.542202873,0.157145266,-0.335111845,0.729966562,-0.051239549,0.780175406,0.463219641,-0.157476723,0.510329272,-1.254553739,-0.371208967,0.2424021,-0.877790862,-0.592270764,0.146432448,0.098973647,0.142463589,0.264618356,0.518427831,F12
OUMS27,Bone,0.003644777,-0.171661676,-0.066685245,-0.281344158,0.004628844,0.184314389,-0.100523581,-0.029719514,0.316197872,-0.060046968,0.212823536,-0.25499388,0.064807235,0.187272474,-0.123384122,-0.398665675,-0.884901105,-0.793484977,,-0.829985075,-1.045054783,-0.676517236,-0.299906781,-0.69573818,-0.90437253,-0.452280142,0.280915247,-0.197570348,-0.217569633,-0.293994606,0.41822723,0.331622567,-1.536509062,-1.56652586,-0.9548895,-0.166504238,-0.027573829,-0.167221845,,-0.09088638,-0.104187843,-0.012513641,DMEM
NCIH2347,Lung,0.570851708,0.098057222,0.238379106,0.069526883,0.223499495,0.185092354,0.354206409,0.541408667,-0.239193685,0.026750776,-0.137059556,-0.409578388,0.42285385,-0.293896921,0.314153395,-0.606838374,0.028357004,-0.691064508,,0.255505034,0.046342734,-0.147794557,0.139925242,0.147688483,0.086620546,0.014116416,0.593904376,0.104145019,0.06222398,-0.228910466,0.285664984,0.351017422,-0.451564246,-0.864733798,-0.903617555,-0.263097417,-0.066378554,0.237799416,,0.203018956,-0.132980175,-0.343477484,RPMI
SW1990,Pancreas,0.635107394,0.41473886,0.50157492,1.207241076,0.514756209,0.610219399,0.601087944,0.377004019,-0.009133678,0.330859013,0.776424014,0.74397049,0.509300634,0.16044725,0.671480748,0.447381278,0.355356436,0.120764035,1.986987683,0.158832623,-0.019987072,-0.05057065,-0.053899696,0.379315391,0.178767523,0.130621098,-0.004569062,0.615493423,0.62551094,0.498519176,0.566659267,1.234181316,-0.405426548,0.196618851,-0.093523114,-0.016472436,1.934379016,0.44618371,0.554180408,0.448052458,0.57425513,0.832960909,RPMI
HS611T,Haematopoietic And Lymphoid Tissue,-0.045066711,-0.203393195,0.021240062,-0.067753726,0.371860157,0.108023573,0.047518274,-0.093733939,-0.548695085,0.10340054,-0.185692951,-0.255340459,-0.395025599,-0.764124402,0.169727957,-0.707940362,-0.063455443,-1.035060413,1.061653998,0.40667517,0.077189041,0.005204287,0.288398317,0.385770812,-0.666704483,-0.560434219,-0.180968083,0.621763107,-0.571430112,-0.807933732,0.917915788,0.439636356,-0.483913844,-0.923990601,-0.447414311,-0.193688651,-0.488530349,0.005094044,0.264927586,0.011611758,0.051078826,0.396302694,RPMI
TOLEDO,Haematopoietic And Lymphoid Tissue,-1.29761541,-0.782600189,-0.16976663,0.178119403,-0.134189618,-0.302582008,0.275287276,0.08255521,-0.65065647,-0.326119032,-0.189199156,0.432545039,0.131063484,-0.931498975,0.086240597,-0.465131109,0.34214302,-0.693883539,3.07761811,0.441666544,-0.091794942,0.638026458,-0.489356101,0.821432629,0.103611626,-0.361297285,-0.526628193,1.016551812,0.234789737,-0.534314986,-0.210185967,-0.269194665,0.437124826,-0.17761686,-1.030552346,-0.891253666,0.210927076,0.011288324,0.190793633,0.09459348,-1.152772076,-2.179959426,RPMI
RERFGC1B,Stomach,0.095582854,0.352610706,-0.325297831,-0.039114332,-0.300867515,0.06421974,0.003481333,0.413918875,-0.817753713,-0.457045543,-0.29507464,-0.132724351,0.524188026,-0.763355162,0.246562245,-0.635650384,-0.028002273,-0.461414505,,-0.776769117,0.325245753,0.247456625,0.079577394,-0.516612372,0.474051163,0.616990349,0.279767938,-0.690646288,0.220609202,0.556659362,-0.326130113,0.001107918,0.084845805,-0.943800689,-0.523786015,-0.596599998,0.371874531,-0.063377849,,0.020311196,-0.000796866,-0.355808628,RPMI
HT1080,Soft Tissue,0.268670029,0.368067951,0.687021419,0.138021165,0.283251344,-0.053558121,-0.053361407,0.129435268,0.183072836,0.384948406,0.256354889,0.231855978,0.079611991,0.41005162,0.039077047,0.359399951,0.372598881,0.649888817,-3.344053525,1.070399835,1.113569549,0.625134296,0.483241778,0.088600125,0.670015307,0.982347782,1.294061044,-0.150592262,-0.044209167,0.003714369,-0.53236153,-0.391823656,0.791364982,1.760548516,1.418613895,1.408807968,-0.100318781,-0.026871457,-0.179091791,-0.050577559,0.020663232,0.026894679,EMEM
NCIH2087,Lung,0.138068435,-0.174150106,0.048138211,-0.085900675,0.272772831,0.121360037,0.200612741,0.381227597,0.111209367,0.587136144,-0.162996906,-0.371234154,-0.430613068,0.14584305,0.019589629,-0.09997825,0.014828148,0.026607106,,0.666590114,0.028041275,-0.340324896,-0.094848216,0.282217005,-0.442655882,0.066293375,-0.271161102,-0.019631681,-0.000587324,-0.042760714,0.256384271,-0.145037409,0.162009873,0.253522853,0.358342495,0.107940089,0.383662787,-0.037476502,,0.041109521,-0.26080903,-0.302971942,DMEM-F12 wGln wPyr
COV318,Ovary,-0.420555703,-0.513053356,-0.231055145,-0.202141006,0,-0.105501864,-0.208830388,-0.255280394,0.183263115,-0.668141895,-0.61011333,-0.677875025,-0.926652673,-0.348993543,-0.419265341,-0.510721408,-0.308787019,-0.340543139,,0.324004456,-0.117896719,-0.103347321,-0.332663424,-0.3062985,-0.731913726,0.088557571,-0.195970034,-0.198028663,-0.475269723,-0.904256418,0.201601623,-0.674977364,-0.022679545,-0.188716141,-0.039479082,-0.270217968,0.109991214,-0.271943012,-0.286699549,-0.18214664,-0.165442504,-0.284913108,DMEM wGln
NCIH2085,Lung,-0.072608626,-0.139224668,-0.067663594,-0.215553416,0.155892442,0.170126324,0.080518306,-0.244128241,0.519497208,-0.339319977,-0.274929063,-0.648667116,-0.241645339,-0.263251368,-0.002644623,-0.927891857,0.106959106,-0.806641813,,-0.555237839,-1.108147703,-0.917998657,-0.499791049,-0.1498152,-0.604773544,-0.694961845,0.304979715,0.204831025,0.148766723,-0.436796833,1.037346964,0.467373732,-0.881453865,-1.670795997,-1.372736828,-0.81175588,0.332041842,0.034896737,,-0.025446051,-0.256678914,-0.764813906,DMEM-F12 wGln wPyr
NCIH510,Lung,-0.492085748,-0.430196142,-0.776972439,-0.286361689,0.298643817,-0.261081574,-0.439622182,-1.202854844,-0.278237209,-0.042815932,0.002191433,-0.687679194,-0.965068804,-0.612188987,-0.309179014,-0.901178906,-0.242019602,-0.793515085,,-0.624087383,0.092916317,0.166634134,-1.304908762,-0.831897646,0.291154058,0.609094165,-0.796096346,-1.22571866,-0.34335948,0.335665969,-0.752282062,-1.257188764,-0.437378957,-0.611385862,-0.79945486,-1.698014036,1.136582195,-0.481190883,,-0.34286481,-0.348750758,-0.528153411,F12
CAKI1,Kidney,-0.17207214,0.00652235,-0.14126254,-0.796138282,-0.321028328,-0.045299918,0.184238096,0.427246147,-0.386337687,-1.000427125,-0.822609316,-0.691028128,-0.388472689,-0.502690701,0.057558737,-0.194786382,-0.804300308,-0.630527163,-3.065345954,-1.05948249,-0.496184346,-0.369172657,-0.808968871,-0.672976607,-0.33897718,1.205322462,0.687948532,-0.631937239,-0.15178047,0.712714167,-1.269012956,-0.724053097,-2.149727039,-1.150155121,-0.094024483,-0.505447654,-0.404892349,-0.099165847,-0.343498246,-0.156074622,-0.036527308,-0.279633095,McCoy5A
NCIH716,Large Intestine,0.059534747,-0.107522773,0.330280617,-5.644003637,-0.025008753,-0.510207532,0.35058673,0.608466859,-0.29225933,-0.455420537,-0.503141193,0.126143267,0.757854417,-0.114963577,0.097669024,0.443363767,-0.223917671,0.530358482,1.046919707,0.407921079,-0.001765083,-0.028149537,-0.093869349,0.593751874,-0.042197139,0.00075567,0.242684779,0.310895963,0.00177545,-0.366803788,0.196226475,-0.09433687,0.255716052,1.044704321,0.32092376,0.44987996,0.613465808,0.080574762,2.111756048,-0.075517023,0.316114716,0.786379553,RPMI
NCIH2066,Lung,0.02617638,-0.439643568,-0.6813392,-0.324876591,-0.637186009,-0.103260166,-0.343931595,-0.548754163,-0.152265924,-0.297330585,-0.104429976,0.105059599,-0.274809383,-0.001790282,-0.103105699,-0.482058335,-0.428767684,-0.571484154,,0.622279873,0.994323481,1.406111143,-0.024049652,-0.065574365,0.009119457,0.256368826,-0.797288224,-1.018526753,-0.850338967,-0.81937108,-0.526862972,-1.147127066,-0.372089294,0.387266634,0.526163552,-0.418630396,-0.157484373,-0.378582612,,-0.520539089,-0.310998709,-0.574124731,DMEM-F12 wGln
NCIH1341,Lung,0.116025058,0.414738393,0.043524756,0.144643518,-0.149644435,-0.284400065,0.027187226,-0.372732831,0.753489752,0.34117609,0.382104101,0.53844138,0.520857626,0.986831744,-0.029609875,0.306267797,0.358096758,0.323811743,,-1.42582446,-0.377726877,0.164951559,0.366173282,-0.9812031,-0.226726746,0.437320062,0.173216669,0.102375305,-0.15919623,-0.155237309,0.955701886,-0.045086518,-0.513972772,-0.80208329,0.347190309,0.300641346,-0.950862945,-0.072630899,,-0.008803941,0.174913785,0.003684952,RPMI
NCIH2029,Lung,0.170618886,0.172883489,-0.141790699,,-0.489288473,0.18915867,0.675587096,0.225292686,0.666319044,-0.586048427,-0.223997229,0.091992568,-0.276058335,0.384372502,0.303792189,-0.016110806,0.320482563,0.261335015,-1.878812159,-0.638737153,0.161184509,-0.64053001,-0.281972197,-0.723214064,0.400918948,1.019975809,0.822474952,-0.43180746,0.49602518,0.056807631,-0.078005488,-0.146860228,-1.050499183,-0.471043249,-0.463656776,-1.50158032,-0.671770359,0.090936824,0.006636834,-0.157594431,0.711364585,1.076676767,DMEM-F12 wGln
SW480,Large Intestine,0.123006084,-0.26704752,-0.38394171,-0.807173765,-0.02069899,-0.33767146,0.142935146,0.585620656,0.111079732,0.050106138,-0.582027814,-0.173449034,0.348767019,-0.001547212,0.259054585,-0.218765974,-0.291940972,-0.52594404,1.117577505,0.317328046,-1.162223662,-1.303448344,-0.637101376,-0.108921602,-0.668200445,-0.621019037,-0.082721113,0.590818439,0.128774371,-0.174119593,0.420462946,0.849638588,-1.423722264,-0.064584418,-1.337901893,-0.642379363,0.117918643,-0.025347814,-0.116598936,0.0510925,-0.18804518,-0.925869718,L15
